,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
149,FRD,Friedman Industries Inc.,5.84,40940000.0,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd
150,FTNW,"FTE Networks, Inc.",17.76,99410000.0,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw
151,GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.91,664390000.0,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn
152,GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",23.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b
153,GST,Gastar Exploration Inc.,0.6237,137770000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gst
154,GST^A,Gastar Exploration Inc.,16.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gst^a
155,GST^B,Gastar Exploration Inc.,18.55,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gst^b
156,JOB,GEE Group Inc.,2.36,24650000.0,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job
157,GMO,"General Moly, Inc",0.3899,43340000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
158,GSB,"GlobalSCAPE, Inc.",3.54,76360000.0,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb
159,GSAT,"Globalstar, Inc.",0.5473,690690000.0,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat
160,GLOW,"Glowpoint, Inc.",0.2203,10110000.0,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow
161,GORO,Gold Resource Corporation,4.4,251270000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
162,GSV,Gold Standard Ventures Corporation,1.63,411030000.0,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv
163,AUMN,Golden Minerals Company,0.415,38150000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
164,GSS,"Golden Star Resources, Ltd",0.5798,220900000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss
165,GV,Goldfield Corporation (The),4,101810000.0,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
166,GDP,Goodrich Petroleum Corporation,11.19,127120000.0,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
167,GTE,Gran Tierra Energy Inc.,2.72,1050000000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
168,GPL,Great Panther Silver Limited,1.17,197080000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl
169,SIM,"Grupo Simec, S.A. de C.V.",9.68,1610000000.0,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim
170,GVP,"GSE Systems, Inc.",3.3,64110000.0,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gvp
171,GLF,"GulfMark Offshore, Inc.",28.39,205020000.0,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/glf
172,GLF.WS,"GulfMark Offshore, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/glf.ws
173,HEB,"Hemispherx BioPharma, Inc.",0.41,15460000.0,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb
174,HCAC,Hennessy Capital Acquisition Corp. III,9.92,318250000.0,2017,Finance,Business Services,https://www.nasdaq.com/symbol/hcac
175,HCAC.U,Hennessy Capital Acquisition Corp. III,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/hcac.u
176,HCAC.WS,Hennessy Capital Acquisition Corp. III,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hcac.ws
177,HLM^,Hillman Group Capital Trust,32.76,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^
178,HMG,"HMG/Courtland Properties, Inc.",12.6932,12860000.0,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg
179,HUSA,Houston American Energy Corporation,0.272,16190000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
180,IBIO,"iBio, Inc.",0.2114,24380000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio
181,IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo
182,IEC,IEC Electronics Corp.,4.35,44450000.0,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec
183,IMUC,"ImmunoCellular Therapeutics, Ltd.",0.2407,10090000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imuc
184,IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/imuc.ws
185,IMH,"Impac Mortgage Holdings, Inc.",7.89,165320000.0,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh
186,IMO,Imperial Oil Limited,27.92,23120000000.0,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo
187,IOR,"Income Opportunity Realty Investors, Inc.",11.4,47520000.0,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior
188,IGC,India Globalization Capital Inc.,0.5064,15330000.0,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/igc
189,INFU,"InfuSystems Holdings, Inc.",2.85,65000000.0,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu
190,IHT,InnSuites Hospitality Trust,1.5111,14730000.0,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht
191,NSPR,InspireMD Inc.,1.07,3210000.0,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr
192,NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws
193,NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws.b
